ra,dec,parallax,pmra,pmdec,pmra_error,pmdec_error,radial_velocity,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,phot_bp_rp_excess_factor,phot_bp_mean_flux_over_error,phot_rp_mean_flux_over_error,astrometric_excess_noise
5.958480919445584,-73.98232761403696,0.2151610494513348,0.25524737813564763,-1.9072753519160601,0.31585193,0.2848787,,19.606453,20.077065,19.0542,1.0228653,1.1701636,22.34991,40.40317,0.0
6.10367313655684,-73.90746892503019,0.2572202591559728,1.5134825271751855,-0.9878252996521214,0.5684581,0.4984937,,20.19456,20.3635,20.368038,-0.0045375824,0.9794902,12.422782,14.796626,0.98372334
6.684196031456607,-73.9667340898219,0.20516867341745307,0.5782906816465091,-1.6002325832878954,0.347984,0.3512143,,19.753462,19.710209,19.912985,-0.20277596,1.11811,23.125746,13.207007,0.67255706
6.6049547254439736,-73.93944309252588,0.21773645366275943,0.6991781799559762,-0.8039037067782702,0.36157432,0.36403954,,19.833529,19.966806,19.142685,0.8241215,1.4367776,24.0821,30.423584,0.71049064
6.380144051180256,-73.95930744880218,0.20616080195098718,0.2080677271342353,-1.233077726409739,0.2961728,0.28512594,,19.434383,19.89692,18.855673,1.0412464,1.1909397,34.55703,47.34068,1.0233878
6.819833643049208,-73.92925820600368,0.21017466737505436,0.24569290339878458,-1.2329156784346034,0.55081254,0.53273696,,20.193548,20.770718,19.634691,1.1360264,1.1304841,13.738114,19.89666,1.0284697
6.775960928637719,-73.89535987768373,0.204611699445012,0.3613986108095696,-1.351691720360403,0.33652282,0.31930637,,19.697,19.694904,19.80998,-0.115076065,1.1059543,40.35077,19.845537,0.0
6.757509659325354,-73.90281677309483,0.2385079656809674,0.6190034682315915,-1.5485960794433022,0.29956767,0.2701647,,19.540524,19.655622,18.83642,0.8192024,1.4573807,27.314314,32.968395,0.0
6.835147573408015,-73.89555209615693,0.24239953511097262,0.529702013997255,-1.3094809463999397,0.18566379,0.17500961,,18.879961,19.34793,18.332844,1.0150871,1.168003,40.98031,59.068855,0.0
6.71357604563721,-73.87182034845182,0.2212816227304888,1.1335509232340708,-1.6795020300531798,0.37118515,0.3631111,,19.814777,20.306795,19.269194,1.0376015,1.1566966,20.573883,22.050106,0.0
6.979774376731157,-73.82075434541244,0.20977806224553192,-1.0952112540427623,0.02780980191565051,0.41254088,0.3707647,,19.73607,19.622965,19.664316,-0.04135132,1.2545346,37.501907,14.772222,1.10051
6.96965911945439,-73.81350033133572,0.2511458111063049,0.259865842947382,-1.2648258911436976,0.14715354,0.14271119,,18.451487,18.953503,17.770489,1.1830139,1.2448875,46.375664,97.300415,0.0
6.233924847887235,-73.94511634622062,0.2492302161155836,0.22612337748892558,-1.1558173113214048,0.35502958,0.3605667,,19.791391,,,,,,,0.8870222
6.323678980020614,-73.88085404341214,0.2396553820310241,1.8252871570703744,-4.014022027819805,1.7517728,1.2206825,,20.841839,20.991144,20.7852,0.20594406,1.0755175,8.670447,4.9899716,0.47308132
6.499901254828607,-73.8900683018094,0.2415942127935548,0.9893493696713196,-1.393857597959896,0.41562802,0.39467743,,19.883287,19.701515,19.682497,0.019018173,1.3638306,22.872704,11.019214,0.6022556
6.202417344684345,-73.87892760763992,0.23721530662827559,0.24616537379111958,-1.4687868985093588,0.23301351,0.21292423,,19.161663,19.597305,18.595907,1.0013981,1.1943091,37.00591,58.137413,0.4483544
